abilities,name,pokedex_number,japanese_name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,base_egg_steps,base_happiness,weight_kg,capture_rate,classfication,experience_growth,height_m,base_total,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,stage
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Pigeotピジョット,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,39.5,45,Bird Pokémon,1059860,1.5,579,83,80,80,135,80,121,1,0,2
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Korattaコラッタ,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,,255,Mouse Pokémon,1000000,,253,30,56,35,25,35,72,1,0,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Rattaラッタ,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,,127,Mouse Pokémon,1000000,,413,75,71,70,40,80,77,1,0,1
"['Keen Eye', 'Sniper']",Spearow,21,Onisuzumeオニスズメ,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,2,255,Tiny Bird Pokémon,1000000,0.3,262,40,60,30,31,31,70,1,0,0
"['Keen Eye', 'Sniper']",Fearow,22,Onidrillオニドリル,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,38,90,Beak Pokémon,1000000,1.2,442,65,90,65,61,61,100,1,0,1
"['Intimidate', 'Shed Skin', 'Unnerve']",Ekans,23,Arboアーボ,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,6.9,255,Snake Pokémon,1000000,2,288,35,60,44,40,54,55,1,0,0
"['Intimidate', 'Shed Skin', 'Unnerve']",Arbok,24,Arbokアーボック,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,65,90,Cobra Pokémon,1000000,3.5,448,60,95,69,65,79,80,1,0,1
"['Static', 'Lightningrod']",Pikachu,25,Pikachuピカチュウ,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,2560,70,6,190,Mouse Pokémon,1000000,0.4,320,35,55,40,50,50,90,1,0,1
"['Static', 'Lightningrod', 'Surge Surfer']",Raichu,26,Raichuライチュウ,electric,electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,2560,70,,75,Mouse Pokémon,1000000,,485,60,85,50,95,85,110,1,0,2
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandshrew,27,Sandサンド,ground,ice,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,,255,Mouse Pokémon,1000000,,300,50,75,90,10,35,40,1,0,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandslash,28,Sandpanサンドパン,ground,ice,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,,90,Mouse Pokémon,1000000,,450,75,100,120,25,65,65,1,0,1
"['Poison Point', 'Rivalry', 'Hustle']",Nidoran♀,29,Nidoran?ニドラン♀,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,5120,70,7,235,Poison Pin Pokémon,1059860,0.4,275,55,47,52,40,40,41,1,0,0
"['Poison Point', 'Rivalry', 'Hustle']",Nidorina,30,Nidorinaニドリーナ,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,5120,70,20,120,Poison Pin Pokémon,1059860,0.8,365,70,62,67,55,55,56,1,0,1
"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoqueen,31,Nidoqueenニドクイン,poison,ground,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,0,5120,70,60,45,Drill Pokémon,1059860,1.3,505,90,92,87,75,85,76,1,0,2
"['Poison Point', 'Rivalry', 'Hustle']",Nidoran♂,32,Nidoran?ニドラン♂,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,5120,70,9,235,Poison Pin Pokémon,1059860,0.5,273,46,57,40,40,40,50,1,0,0
"['Poison Point', 'Rivalry', 'Hustle']",Nidorino,33,Nidorinoニドリーノ,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,5120,70,19.5,120,Poison Pin Pokémon,1059860,0.9,365,61,72,57,55,55,65,1,0,1
"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoking,34,Nidokingニドキング,poison,ground,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,100,5120,70,62,45,Drill Pokémon,1059860,1.4,505,81,102,77,85,75,85,1,0,2
"['Cute Charm', 'Magic Guard', 'Friend Guard']",Clefairy,35,Pippiピッピ,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,2560,140,7.5,150,Fairy Pokémon,800000,0.6,323,70,45,48,60,65,35,1,0,1
"['Cute Charm', 'Magic Guard', 'Unaware']",Clefable,36,Pixyピクシー,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,2560,140,40,25,Fairy Pokémon,800000,1.3,483,95,70,73,95,90,60,1,0,2
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Vulpix,37,Rokonロコン,fire,ice,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,24.6,5120,70,,190,Fox Pokémon,1000000,,299,38,41,40,50,65,65,1,0,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Ninetales,38,Kyukonキュウコン,fire,ice,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,24.6,5120,70,,75,Fox Pokémon,1000000,,505,73,67,75,81,100,109,1,0,1
"['Cute Charm', 'Competitive', 'Friend Guard']",Jigglypuff,39,Purinプリン,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,2560,70,5.5,170,Balloon Pokémon,800000,0.5,270,115,45,20,45,25,20,1,0,1
"['Cute Charm', 'Competitive', 'Frisk']",Wigglytuff,40,Pukurinプクリン,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,2560,70,12,50,Balloon Pokémon,800000,1,435,140,70,45,85,50,45,1,0,2
"['Inner Focus', 'Infiltrator']",Zubat,41,Zubatズバット,poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,3840,70,7.5,255,Bat Pokémon,1000000,0.8,245,40,45,35,30,40,55,1,0,0
"['Inner Focus', 'Infiltrator']",Golbat,42,Golbatゴルバット,poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,3840,70,55,90,Bat Pokémon,1000000,1.6,455,75,80,70,65,75,90,1,0,1
"['Chlorophyll', 'Run Away']",Oddish,43,Nazonokusaナゾノクサ,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,5.4,255,Weed Pokémon,1059860,0.5,320,45,50,55,75,65,30,1,0,0
"['Chlorophyll', 'Stench']",Gloom,44,Kusaihanaクサイハナ,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,8.6,120,Weed Pokémon,1059860,0.8,395,60,65,70,85,75,40,1,0,1
"['Chlorophyll', 'Effect Spore']",Vileplume,45,Ruffresiaラフレシア,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,18.6,45,Flower Pokémon,1059860,1.2,490,75,80,85,110,90,50,1,0,2
"['Effect Spore', 'Dry Skin', 'Damp']",Paras,46,Parasパラス,bug,grass,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,50,5120,70,5.4,190,Mushroom Pokémon,1000000,0.3,285,35,70,55,45,55,25,1,0,0
"['Effect Spore', 'Dry Skin', 'Damp']",Parasect,47,Parasectパラセクト,bug,grass,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,50,5120,70,29.5,75,Mushroom Pokémon,1000000,1,405,60,95,80,60,80,30,1,0,1
"['Compoundeyes', 'Tinted Lens', 'Run Away']",Venonat,48,Kongpangコンパン,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,5120,70,30,190,Insect Pokémon,1000000,1,305,60,55,50,40,55,45,1,0,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Venomoth,49,Morphonモルフォン,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,5120,70,12.5,75,Poison Moth Pokémon,1000000,1.5,450,70,65,60,90,75,90,1,0,1
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Diglett,50,Digdaディグダ,ground,ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,,255,Mole Pokémon,1000000,,265,10,55,30,35,45,90,1,0,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Dugtrio,51,Dugtrioダグトリオ,ground,ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,,50,Mole Pokémon,1000000,,425,35,100,60,50,70,110,1,0,1
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Meowth,52,Nyarthニャース,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,,255,Scratch Cat Pokémon,1000000,,290,40,35,35,50,40,90,1,0,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Persian,53,Persianペルシアン,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,,90,Classy Cat Pokémon,1000000,,440,65,60,60,75,65,115,1,0,1
"['Damp', 'Cloud Nine', 'Swift Swim']",Psyduck,54,Koduckコダック,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,19.6,190,Duck Pokémon,1000000,0.8,320,50,52,48,65,50,55,1,0,0
"['Damp', 'Cloud Nine', 'Swift Swim']",Golduck,55,Golduckゴルダック,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,76.6,75,Duck Pokémon,1000000,1.7,500,80,82,78,95,80,85,1,0,1
"['Vital Spirit', 'Anger Point', 'Defiant']",Mankey,56,Mankeyマンキー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,5120,70,28,190,Pig Monkey Pokémon,1000000,0.5,305,40,80,35,35,45,70,1,0,0
"['Vital Spirit', 'Anger Point', 'Defiant']",Primeape,57,Okorizaruオコリザル,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,5120,70,32,75,Pig Monkey Pokémon,1000000,1,455,65,105,60,60,70,95,1,0,1
"['Intimidate', 'Flash Fire', 'Justified']",Growlithe,58,Gardieガーディ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,5120,70,19,190,Puppy Pokémon,1250000,0.7,350,55,70,45,70,50,60,1,0,0
"['Intimidate', 'Flash Fire', 'Justified']",Arcanine,59,Windieウインディ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,5120,70,155,75,Legendary Pokémon,1250000,1.9,555,90,110,80,100,80,95,1,0,1
"['Water Absorb', 'Damp', 'Swift Swim']",Poliwag,60,Nyoromoニョロモ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,12.4,255,Tadpole Pokémon,1059860,0.6,300,40,50,40,40,40,90,1,0,0
"['Water Absorb', 'Damp', 'Swift Swim']",Poliwhirl,61,Nyorozoニョロゾ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,20,120,Tadpole Pokémon,1059860,1,385,65,65,65,50,50,90,1,0,1
"['Water Absorb', 'Damp', 'Swift Swim']",Poliwrath,62,Nyorobonニョロボン,water,fighting,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,50,5120,70,54,45,Tadpole Pokémon,1059860,1.3,510,90,95,95,70,90,70,1,0,2
"['Synchronize', 'Inner Focus', 'Magic Guard']",Abra,63,Caseyケーシィ,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,5120,70,19.5,200,Psi Pokémon,1059860,0.9,310,25,20,15,105,55,90,1,0,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",Kadabra,64,Yungererユンゲラー,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,5120,70,56.5,100,Psi Pokémon,1059860,1.3,400,40,35,30,120,70,105,1,0,1
"['Synchronize', 'Inner Focus', 'Magic Guard']",Alakazam,65,Foodinフーディン,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,5120,70,48,50,Psi Pokémon,1059860,1.5,600,55,50,65,175,105,150,1,0,2
"['Guts', 'No Guard', 'Steadfast']",Machop,66,Wanrikyワンリキー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,5120,70,19.5,180,Superpower Pokémon,1059860,0.8,305,70,80,50,35,35,35,1,0,0
"['Guts', 'No Guard', 'Steadfast']",Machoke,67,Gorikyゴーリキー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,5120,70,70.5,90,Superpower Pokémon,1059860,1.5,405,80,100,70,50,60,45,1,0,1
"['Guts', 'No Guard', 'Steadfast']",Machamp,68,Kairikyカイリキー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,5120,70,130,45,Superpower Pokémon,1059860,1.6,505,90,130,80,65,85,55,1,0,2
"['Chlorophyll', 'Gluttony']",Bellsprout,69,Madatsubomiマダツボミ,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,4,255,Flower Pokémon,1059860,0.7,300,50,75,35,70,30,40,1,0,0
"['Chlorophyll', 'Gluttony']",Weepinbell,70,Utsudonウツドン,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,6.4,120,Flycatcher Pokémon,1059860,1,390,65,90,50,85,45,55,1,0,1
"['Chlorophyll', 'Gluttony']",Victreebel,71,Utsubotウツボット,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,15.5,45,Flycatcher Pokémon,1059860,1.7,490,80,105,65,100,70,70,1,0,2
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Tentacool,72,Menokurageメノクラゲ,water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,5120,70,45.5,190,Jellyfish Pokémon,1250000,0.9,335,40,40,35,50,100,70,1,0,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Tentacruel,73,Dokukurageドククラゲ,water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,5120,70,55,60,Jellyfish Pokémon,1250000,1.6,515,80,70,65,80,120,100,1,0,1
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Geodude,74,Isitsubuteイシツブテ,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,3840,70,,255,Rock Pokémon,1059860,,300,40,80,100,30,30,20,1,0,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Graveler,75,Goloneゴローン,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,3840,70,,120,Rock Pokémon,1059860,,390,55,95,115,45,45,35,1,0,1
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Golem,76,Golonyaゴローニャ,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,3840,70,,45,Megaton Pokémon,1059860,,495,80,120,130,55,65,45,1,0,2
"['Run Away', 'Flash Fire', 'Flame Body']",Ponyta,77,Ponytaポニータ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,5120,70,30,190,Fire Horse Pokémon,1000000,1,410,50,85,55,65,65,90,1,0,0
"['Run Away', 'Flash Fire', 'Flame Body']",Rapidash,78,Gallopギャロップ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,5120,70,95,60,Fire Horse Pokémon,1000000,1.7,500,65,100,70,80,80,105,1,0,1
"['Oblivious', 'Own Tempo', 'Regenerator']",Slowpoke,79,Yadonヤドン,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,5120,70,36,190,Dopey Pokémon,1000000,1.2,315,90,65,65,40,40,15,1,0,0
"['Oblivious', 'Own Tempo', 'Regenerator']",Slowbro,80,Yadoranヤドラン,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,5120,70,78.5,75,Hermit Crab Pokémon,1000000,1.6,590,95,75,180,130,80,30,1,0,1
"['Magnet Pull', 'Sturdy', 'Analytic']",Magnemite,81,Coilコイル,electric,steel,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,,5120,70,6,190,Magnet Pokémon,1000000,0.3,325,25,35,70,95,55,45,1,0,0
"['Magnet Pull', 'Sturdy', 'Analytic']",Magneton,82,Rarecoilレアコイル,electric,steel,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,,5120,70,60,60,Magnet Pokémon,1000000,1,465,50,60,95,120,70,70,1,0,1
"['Keen Eye', 'Inner Focus', 'Defiant']",Farfetch'd,83,Kamonegiカモネギ,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,5120,70,15,45,Wild Duck Pokémon,1000000,0.8,377,52,90,55,58,62,60,1,0,0
"['Run Away', 'Early Bird', 'Tangled Feet']",Doduo,84,Dodoドードー,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,5120,70,39.2,190,Twin Bird Pokémon,1000000,1.4,310,35,85,45,35,35,75,1,0,0
"['Run Away', 'Early Bird', 'Tangled Feet']",Dodrio,85,Dodorioドードリオ,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,5120,70,85.2,45,Triple Bird Pokémon,1000000,1.8,470,60,110,70,60,60,110,1,0,1
"['Thick Fat', 'Hydration', 'Ice Body']",Seel,86,Pawouパウワウ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,90,190,Sea Lion Pokémon,1000000,1.1,325,65,45,55,45,70,45,1,0,0
"['Thick Fat', 'Hydration', 'Ice Body']",Dewgong,87,Jugonジュゴン,water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,5120,70,120,75,Sea Lion Pokémon,1000000,1.7,475,90,70,80,70,95,70,1,0,1
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Grimer,88,Betbeterベトベター,poison,poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,,190,Sludge Pokémon,1000000,,325,80,80,50,40,50,25,1,0,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Muk,89,Betbetonベトベトン,poison,poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,,75,Sludge Pokémon,1000000,,500,105,105,75,65,100,50,1,0,1
"['Shell Armor', 'Skill Link', 'Overcoat']",Shellder,90,Shellderシェルダー,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,4,190,Bivalve Pokémon,1250000,0.3,305,30,65,100,45,25,40,1,0,0
"['Shell Armor', 'Skill Link', 'Overcoat']",Cloyster,91,Parshenパルシェン,water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,5120,70,132.5,60,Bivalve Pokémon,1250000,1.5,525,50,95,180,85,45,70,1,0,1
['Levitate'],Gastly,92,Ghosゴース,ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,0.1,190,Gas Pokémon,1059860,1.3,310,30,35,30,100,35,80,1,0,0
['Levitate'],Haunter,93,Ghostゴースト,ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,0.1,90,Gas Pokémon,1059860,1.6,405,45,50,45,115,55,95,1,0,1
['Cursed Body'],Gengar,94,Gangarゲンガー,ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,40.5,45,Shadow Pokémon,1059860,1.5,600,60,65,80,170,95,130,1,0,2
